, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
0,80,85051122,7,6,660,11595,330,0,94.28571429,161.023512,7240,0,1932.5,2695.639126,144.0898099,0.152849248,7087593.5,24500000.0,84800000,3,85000000,14200000.0,34600000.0,84800000,3,253530,50706.0,100245.013,229069,71,0,0,0,0,232,200,0.082303441,0.070545807,0,7240,875.3571429,1926.135773,3709999.016,0,0,0,0,1,0,0,0,0,942.6923077,94.28571429,1932.5,232,0,0,0,0,0,0,7,660,6,11595,274,235,2,32,978.0,0.0,978,978,84800000.0,0.0,84800000,84800000,0
1,53614,45,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6.0,0.0,1088888.889,88888.88889,15.0,9.848857802,23,4,45,22.5,26.1629509,41,4,0,0.0,0.0,0,0,0,0,0,0,60,20,66666.66667,22222.22222,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,119,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
2,53,191,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,1162303.665,20942.40838,63.66666667,108.5418506,189,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,10471.20419,10471.20419,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
3,443,5898660,8,7,375,4187,194,0,46.875,72.74110157,1460,2,598.1428571,719.1044033,773.3959916,2.542950433,421332.8571,1456884.413,5477951,3,5898660,842665.7143,2046676.23,5477951,3,370059,61676.5,96173.09773,249205,49,0,0,0,0,172,144,1.356240231,1.186710202,0,1460,285.125,539.19494,290731.1833,0,0,0,1,0,0,0,0,0,304.1333333,46.875,598.1428571,172,0,0,0,0,0,0,8,375,7,4187,8192,30016,7,20,420706.0,0.0,420706,420706,5477951.0,0.0,5477951,5477951,1
4,80,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,1
5,56576,48,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,250000.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20833.33333,20833.33333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,119,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
7,80,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
8,53,60079,1,1,46,78,46,46,46.0,0.0,78,78,78.0,0.0,2063.949134,33.28950216,60079.0,0.0,60079,60079,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16.64475108,16.64475108,46,78,56.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,85.0,46.0,78.0,20,0,0,0,0,0,0,1,46,1,78,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
9,80,99594727,9,5,1188,11595,396,0,132.0,198.0,10136,0,2319.0,4414.366206,128.3501686,0.140569691,7661132.846,27400000.0,99000000,6,99500000,12400000.0,35000000.0,99000000,6,575424,143856.0,209439.0973,444058,83,0,0,0,0,296,168,0.09036623,0.050203461,0,10136,852.2,2596.867569,6743721.171,0,0,0,0,1,0,0,0,0,913.0714286,132.0,2319.0,296,0,0,0,0,0,0,9,1188,5,11595,274,235,3,32,552.0,0.0,552,552,99000000.0,0.0,99000000,99000000,0
